UNIVERSITY OF PITTSBURGH,1632
VERIZON DATA SERVICES LLC,1635
HEWLETT-PACKARD COMPANY,1639
EXPERIS US  INC.,1641
RJT COMPUQUEST  INC.,1662
BAYLOR COLLEGE OF MEDICINE,1666
MORGAN STANLEY & CO. LLC,1669
EMORY UNIVERSITY,1680
SATYAM COMPUTER SERVICES LTD.,1694
LEAD IT CORPORATION,1720
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,1724
DALLAS INDEPENDENT SCHOOL DISTRICT,1729
HORIZON TECHNOLOGIES INC,1731
MAYO CLINIC,1772
TEXAS INSTRUMENTS INCORPORATED,1780
ERP ANALYSTS  INC.,1785
JOHNS HOPKINS UNIVERSITY,1823
COLUMBIA UNIVERSITY,1841
YALE UNIVERSITY,1852
ITC INFOTECH (USA)  INC.,1859
NETAPP  INC.,1870
MERRILL LYNCH,1873
MICRON TECHNOLOGY  INC.,1934
SYNTEL INC,1946
ASTIR IT SOLUTIONS INC.,1955
HARVARD UNIVERSITY,1966
RELIABLE SOFTWARE RESOURCES  INC.,1992
CGI TECHNOLOGIES AND SOLUTIONS INC.,1995
MANAGEMENT HEALTH SYSTEMS  INC.,2000
THE MATHWORKS  INC.,2020
3I INFOTECH  INC.,2041
CIBER  INC.,2097
CITIBANK  N.A.,2173
LINKEDIN CORPORATION,2194
YASH TECHNOLOGIES  INC.,2214
VIRTUSA CORPORATION,2217
SAPIENT CORPORATION,2237
SALESFORCE.COM  INC.,2245
CSC COVANSYS CORPORATION,2251
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,2258
CERNER CORPORATION,2268
SYMANTEC CORPORATION,2290
SCHLUMBERGER TECHNOLOGY CORPORATION,2310
NATIONAL INSTITUTES OF HEALTH  HHS,2327
BLOOMBERG  LP,2352
BIRLASOFT INC,2370
SATYAM COMPUTER SERVICES LIMITED,2403
ITECH US  INC.,2476
DELOITTE TAX LLP,2501
PRICEWATERHOUSECOOPERS  LLP,2529
CREDIT SUISSE SECURITIES (USA) LLC,2546
HEADSTRONG SERVICES LLC,2587
VMWARE  INC.,2617
MARLABS  INC,2626
HTC GLOBAL SERVICES INC.,2632
POPULUS GROUP,2635
PRICEWATERHOUSECOOPERS LLP,2719
CVS RX SERVICES  INC.,2735
CAPITAL ONE SERVICES  LLC,2796
PAYPAL  INC.,2830
HITACHI CONSULTING CORPORATION,2854
BROADCOM CORPORATION,2862
UNIVERSITY OF MICHIGAN,2892
LARSEN & TOUBRO LIMITED,3066
SYSTEM SOFT TECHNOLOGIES LLC,3102
KPIT INFOSYSTEMS  INC.,3114
CISCO SYSTEMS  INC.,3140
SYNTEL CONSULTING INC.,3167
PERSISTENT SYSTEMS  INC.,3225
YAHOO! INC.,3348
ERICSSON INC.,3359
PATNI AMERICAS INC.,3370
COMPUNNEL SOFTWARE GROUP  INC.,3378
RANDSTAD TECHNOLOGIES  LP,3419
EBAY INC.,3464
WAL-MART ASSOCIATES  INC.,3670
HCL GLOBAL SYSTEMS INC,3677
CAPGEMINI U.S. LLC,3712
GOLDMAN  SACHS & CO.,3713
L&T TECHNOLOGY SERVICES LIMITED,3722
SYNECHRON  INC.,3802
QUALCOMM INCORPORATED,3965
MINDTREE LIMITED,4067
FACEBOOK  INC.,4145
BANK OF AMERICA N.A.,4282
V-SOFT CONSULTING GROUP  INC,4283
CAPGEMINI FINANCIAL SERVICES USA INC,4426
EMC CORPORATION,4467
NTT DATA  INC.,4612
KPMG LLP,4629
CUMMINS INC.,4737
MPHASIS CORPORATION,5199
MASTECH  INC.  A MASTECH HOLDINGS  INC. COMPANY,5228
FUJITSU AMERICA  INC.,5309
HEXAWARE TECHNOLOGIES  INC.,5466
QUALCOMM TECHNOLOGIES  INC.,6113
UST GLOBAL INC,6355
UST GLOBAL INC.,6363
TECH MAHINDRA (AMERICAS)  INC.,7019
JPMORGAN CHASE & CO.,7035
APPLE INC.,7317
ORACLE AMERICA  INC.,7684
AMAZON CORPORATE LLC,9026
DELOITTE & TOUCHE LLP,9642
INTEL CORPORATION,11415
IGATE TECHNOLOGIES INC.,12564
TECH MAHINDRA (AMERICAS) INC.,12834
IBM CORPORATION,13276
GOOGLE INC.,16473
CAPGEMINI AMERICA INC,16725
LARSEN & TOUBRO INFOTECH LIMITED,17457
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,17528
ERNST & YOUNG U.S. LLP,18232
HCL AMERICA  INC.,22678
MICROSOFT CORPORATION,25576
ACCENTURE LLP,33447
IBM INDIA PRIVATE LIMITED,34219
DELOITTE CONSULTING LLP,36742
WIPRO LIMITED,48117
TATA CONSULTANCY SERVICES LIMITED,64726
INFOSYS LIMITED,130592
