NEW JERSEY,1007814080
 ILLINOIS,820132347
 OHIO,709999949
 CALIFORNIA,616931693
 VIRGINIA,413472579
 COLORADO,389376000
 PENNSYLVANIA,361038080
 SOUTH CAROLINA,348751520
 MISSOURI,346112000
 DELAWARE,346112000
 TEXAS,340358720
 KANSAS,321322560
 WASHINGTON,319654400
 NEW YORK,307736000
 ARIZONA,306049120
 VERMONT,298001600
 OREGON,288050880
 FLORIDA,286969280
 MAINE,285197120
 CONNECTICUT,278058560
 TENNESSEE,274899040
 NEW MEXICO,269274720
 WEST VIRGINIA,265468320
 KENTUCKY,255084960
 MARYLAND,252141760
 MINNESOTA,251796480
 MASSACHUSETTS,249244320
 MICHIGAN,247037440
 NORTH CAROLINA,236957760
 ALABAMA,236654080
 LOUISIANA,224236480
 UTAH,198149120
 GEORGIA,190188960
 DISTRICT OF COLUMBIA,174224960
 INDIANA,168989600
 WISCONSIN,166004800
 RHODE ISLAND,159038880
 IDAHO,154797760
 NEW HAMPSHIRE,144545440
 NEVADA,139439040
 NEBRASKA,137146880
 ALASKA,136801600
 SOUTH DAKOTA,131478880
 ARKANSAS,130008320
 OKLAHOMA,120922880
 IOWA,117894400
 MISSISSIPPI,112962720
 WYOMING,86528000
 HAWAII,80643680
 NORTH DAKOTA,70304000
 MONTANA,1121570
 PUERTO RICO,418824
